,filename,cough_detected,nframes,duration,status
40,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c1eb6-d9c2-4559-be04-2f1e8ea332c8.webm,0.958,56889.0,2.58,
41,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c80ab-049f-4a73-b13e-ca242702aabe.webm,0.9437,218295.0,9.9,
43,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0080c4be-010c-4037-bba2-743437db3beb.ogg,0.9674,220723.0,10.0101,
44,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00818b42-c75e-4bed-aacc-426e7caae49e.webm,0.8429,216972.0,9.84,
45,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0084c60b-ea8d-4361-bedb-b230f8b67cec.webm,0.9128,218295.0,9.9,
48,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0096a99b-8f20-4bd5-9738-eee7f9fed1d6.webm,0.9943,197127.0,8.94,
50,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00989cdb-ba34-413f-9c0a-ffa6864bf54e.webm,0.6856,215649.0,9.78,
53,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/009e677f-e0ed-4765-9f9e-db3fff3921a3.ogg,0.9911,214738.0,9.7387,
54,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00a2faca-e1f2-4848-9afe-058f949d3252.webm,0.9941,219618.0,9.96,
56,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00a4e142-2ae1-401e-8319-837e512b1281.webm,0.9926,185220.0,8.4,
61,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00b2a7e8-60ce-488d-9fcf-6b5946d4bbc9.webm,0.9504,38367.0,1.74,
62,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00b38e22-dbb8-4da9-abed-5ddb6df9f287.wav,0.9648,86554.0,3.9254,
69,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00ccf4e3-6e4f-4e6b-a16d-11b4a8999d1e.webm,0.9973,82026.0,3.72,
72,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00ce9f7f-e738-474b-a7fc-ab4d3cf323df.webm,0.9877,218295.0,9.9,
80,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00e92287-1088-4c8b-97fc-a8502fce4ede.wav,0.8699,220148.0,9.984,
87,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00fc3fbd-27fc-4d15-99c5-f49bf50be6ef.wav,0.9876,221088.0,10.0267,
96,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0105c829-d905-4d92-b8a1-55916e7a0756.webm,0.886,92610.0,4.2,
97,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/010a706e-31db-4435-96ff-07dc0c1fc3d1.webm,0.8713,215649.0,9.78,
98,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/010d8a17-18b2-43a7-930d-10aa72dd58d9.webm,0.9716,218295.0,9.9,
99,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01155ee0-0981-4592-b4af-ffabe71a8232.ogg,0.9977,119809.0,5.4335,
102,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01208e5c-5338-4f1b-b8c6-41c049e40d90.webm,0.9968,219618.0,9.96,
105,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/012c5d80-e8a0-4044-9451-9747288d76b3.wav,0.9326,222029.0,10.0693,
106,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/012e446d-76e7-4b3e-850d-b654507606aa.webm,0.9673,214326.0,9.72,
112,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/013f9a30-9d4d-4df9-b338-468d2be6be37.webm,0.985,219618.0,9.96,
116,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01430fd0-c3f1-4991-b7a7-df514285401c.webm,0.9794,216972.0,9.84,
117,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01464036-f2b4-4875-82f4-728d7e7279f0.webm,0.9415,153468.0,6.96,
121,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/015030c3-f8a5-4658-8727-5360e1e4737b.webm,0.9275,219618.0,9.96,
122,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0153da92-3e0e-414c-b0dc-92ef6c64c172.webm,0.922,59535.0,2.7,
124,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01567151-7bb2-45ee-9aa8-a1332b5941ea.webm,0.982,219618.0,9.96,
127,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0161037f-80f4-4dab-9ad7-832246c46196.webm,0.7335,210357.0,9.54,
131,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01723b00-382f-4089-a7c3-9c90b3ddad17.webm,0.997,107163.0,4.86,
133,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01743507-7a29-431a-9708-d9ec83385ccd.webm,0.993,182574.0,8.28,
141,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/018b40a1-c109-459a-9e31-86cbd2cb3918.webm,0.9869,215649.0,9.78,
150,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01b1433f-24a2-4615-8847-5e4523aa6579.wav,0.9847,133124.0,6.0374,
151,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01b24244-9b89-4a14-b935-4da842926267.webm,0.9872,216972.0,9.84,
161,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01d46215-cb26-45a7-92dd-25ca74f4b3a1.webm,0.9741,219618.0,9.96,
163,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01dc69c3-28eb-4b87-8b1d-1432724f6470.webm,0.9764,144207.0,6.54,
170,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01e92753-8737-447d-a8c6-d323b712b608.webm,0.9924,218295.0,9.9,
172,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01f3cf8f-60b3-43f0-904c-479506ba2852.webm,0.9874,211680.0,9.6,
182,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0206b5b3-c28f-48d8-81e6-aeb0bc1abcd1.webm,0.8572,219618.0,9.96,
184,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0216f566-704e-4f87-9926-b3989146c315.webm,0.9477,218295.0,9.9,
185,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/021de102-72c0-4808-b974-e21ca0371ce6.webm,0.9413,215649.0,9.78,
189,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/022a48fe-8199-47a0-9459-ff3f4d2d91ed.wav,0.9961,206036.0,9.344,
198,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/024cdc20-6630-406d-835b-4b0eb85fc8c0.webm,0.9108,205065.0,9.3,
199,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/024d8b31-2df6-4bf4-88cd-1c9c253f22f4.webm,0.8283,197127.0,8.94,
201,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/025519ad-0a49-4a52-a06d-1529eaf3de39.webm,0.9693,215649.0,9.78,
204,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02582fe2-1495-42a4-a2e3-5a727e38e117.webm,0.9918,218295.0,9.9,
205,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0258d823-7bdf-451a-9a6c-c48ec3ab3228.webm,0.9974,121716.0,5.52,
206,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/025ed3e7-bc59-47ef-9e58-e512e135a86a.webm,0.9899,117747.0,5.34,
213,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02770549-8cbb-4841-bf1f-1f5189a6b59b.webm,0.788,218295.0,9.9,
220,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0286bc63-9d1a-4f12-888d-7c2dc6b2c3fb.webm,0.9882,59535.0,2.7,
225,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/028f409d-595f-4ac7-8220-d40c8ea8f02f.ogg,0.8488,219918.0,9.9736,
227,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0293d996-9612-4a60-bf82-60b9c5a023c3.webm,0.987,216972.0,9.84,
232,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/029df1d4-19df-4838-825d-9fdd152ef47a.wav,0.868,156173.0,7.0827,
234,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02a3db84-b28e-44cc-8949-6ddc82973abf.webm,0.7883,97902.0,4.44,
235,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02a7107b-8df0-4157-8e0d-bd03974b2151.webm,0.9907,197127.0,8.94,
242,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02bc3e1c-90f6-4484-a36a-1caf3accec30.webm,0.9863,210357.0,9.54,
244,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02bf1a5f-4991-4802-8323-1ebcf4d2e233.webm,0.9731,215649.0,9.78,
251,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02d9d3f1-0004-4d00-937a-9c26598ab707.webm,0.9972,153468.0,6.96,
268,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0306e227-b6c5-4b0c-bed4-e2c9130e7d4a.webm,0.8085,218295.0,9.9,
274,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/032e7df9-c964-4120-b738-5cc53eb6152d.webm,0.7759,215649.0,9.78,
276,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/03363606-b502-4f0e-8c3f-326f2ffe8090.webm,0.9013,78057.0,3.54,
281,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0340dbec-da99-4d4f-b8ad-a6a31dee2ca6.webm,0.9795,216972.0,9.84,
288,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/034a2518-6303-455a-b6d9-896bc567e95e.webm,0.9308,68796.0,3.12,
290,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/034ab194-1af2-4f3c-9128-1b82d9f2d98e.webm,0.9812,215649.0,9.78,
291,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0352b80b-3c92-44f2-abbf-d6c056e02ee9.webm,0.7897,91287.0,4.14,
292,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0353cddc-29b3-48e2-bb6b-2293b9fabf96.ogg,0.7683,217711.0,9.8735,
293,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0354141d-4bdf-4270-91b2-e8811714f328.webm,0.773,206388.0,9.36,
301,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0369c200-4fd5-472f-a04b-415ca091901f.webm,0.9778,216972.0,9.84,
315,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0397e4f9-19a2-43fa-8924-b5e135e1d7ae.webm,0.9828,219618.0,9.96,
316,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/039a9170-b492-45bf-9289-29b863f3fc81.webm,0.9823,215649.0,9.78,
317,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/039d4fc1-28f7-4b06-bcaa-0de5d48e69c8.webm,0.9978,112455.0,5.1,
320,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/03ad0e21-81ba-4617-a218-3070ebe69e3d.webm,0.6635,215649.0,9.78,
335,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/03ef96d6-e234-455e-aca1-3525b4b6c392.webm,0.8241,97902.0,4.44,
337,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/03f8bed9-cf24-46bb-9ef4-636ae9dcd343.webm,0.986,216972.0,9.84,
346,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04146659-df4f-45bb-8c4d-ec129605a615.webm,0.945,79380.0,3.6,
347,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/041b02e6-2228-47df-9e5a-11898dd78b4b.webm,0.9676,219618.0,9.96,
352,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/042d1e63-ae29-4a23-b290-82a148b089a7.ogg,0.7516,76558.0,3.472,
353,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0430faa0-34f5-4fbc-ac29-e339303d4fdf.wav,0.8786,102548.0,4.6507,
354,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/043490d6-0066-4403-8c73-c96accfe664b.webm,0.9522,124362.0,5.64,
362,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/045e4374-a671-4b01-bd12-00450c9f12e9.webm,0.9624,168021.0,7.62,
363,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/045eb02b-8fff-4e2a-af69-3f1e6e300314.webm,0.9914,218295.0,9.9,
365,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04631973-4576-4f42-a428-9a1ebc35ef7d.webm,0.9667,211680.0,9.6,
371,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04778d3e-da84-4727-89aa-ead32cd84f19.webm,0.9381,219618.0,9.96,
372,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/047c9119-efff-4e8c-bc73-590abf907c63.webm,0.8159,216972.0,9.84,
376,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04931778-d627-4378-8e15-79f123a776e5.wav,0.7074,220148.0,9.984,
381,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/049f35fd-d793-4879-b888-ee12e6242f37.webm,0.9871,216972.0,9.84,
383,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04a474fd-2546-479f-8753-5e4a291f6df6.webm,0.9966,162729.0,7.38,
384,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04a67611-1458-4270-990e-6aa64e6bcef5.webm,0.9987,169344.0,7.68,
385,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04a70241-004c-4d40-9151-829edf4f9a24.webm,0.9571,158760.0,7.2,
386,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04ac6217-c9f0-47c6-ba48-9078c985e367.webm,0.8285,216972.0,9.84,
389,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04b1785d-605e-4028-b5a7-173d05c923f9.webm,0.9823,219618.0,9.96,
396,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04c3d6a6-4773-4544-97aa-e25058686a0e.webm,0.9213,219618.0,9.96,
398,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04cc2c07-2d87-46a8-a60a-27edf382b7ce.webm,0.9612,210357.0,9.54,
400,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04d61a5c-fa41-4c26-b949-ec6f8d172607.webm,0.9939,218295.0,9.9,
403,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04e83821-5ff3-41fe-9b5d-034f5d4d885c.webm,0.9068,216972.0,9.84,
406,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/04f0e019-d9d2-4dcd-b49b-6174d689287b.webm,0.9898,215649.0,9.78,
407,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05010000-fdb0-4c15-b828-616402d0d17e.webm,0.9113,218295.0,9.9,
415,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05156104-ac89-477c-b46d-9cf84636236c.webm,0.792,216972.0,9.84,
416,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05183d44-cf30-4047-aa37-0bfa72fe4d30.webm,0.991,199773.0,9.06,
419,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/051c8fc4-0fbc-450d-aeea-df25bebdb18c.webm,0.9263,219618.0,9.96,
420,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/051e4b7c-a3a2-49c3-b3e8-e31099e5a932.webm,0.9947,216972.0,9.84,
422,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05262cfb-48fe-44c2-b303-56c9d5a4534d.webm,0.9981,216972.0,9.84,
428,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0537bff1-3559-41a7-9ac3-b050130bf82b.webm,0.9878,218295.0,9.9,
435,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/054f357f-9089-4343-94f6-09c1b16d10ba.webm,0.9901,144207.0,6.54,
436,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05507eef-9568-44f0-8e80-e95c137903f4.webm,0.9717,186543.0,8.46,
437,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0553e2c4-dbe4-4f37-8685-887e17a63a8e.webm,0.9899,203742.0,9.24,
439,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05565509-d28c-4d2a-9326-25f99afa7fcf.webm,0.9956,215649.0,9.78,
441,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/055dea93-51f5-4ec6-a6ee-1d2551e9a048.webm,0.9967,78057.0,3.54,
443,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0567082b-6e02-4f22-931f-18fc256667ce.webm,0.9754,219618.0,9.96,
449,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05883807-4893-4a37-9db7-b4815b4f22fe.webm,0.9897,218295.0,9.9,
451,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/058dc7ae-8ddc-4718-a93b-34d115a19b10.webm,0.8283,216972.0,9.84,
452,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/058dfab8-e74f-48cd-bab0-12c16f037aef.webm,0.8419,215649.0,9.78,
465,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05aa99b5-8d64-4d04-8f5d-a2a32ac5fe94.webm,0.9913,104517.0,4.74,
467,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05ac39f1-b29c-477c-8386-9083e29ae8f7.webm,0.7039,216972.0,9.84,
468,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05b7bdc8-e278-48de-affb-acd93791a873.webm,0.9488,205065.0,9.3,
481,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05e30a14-5dee-4e61-b248-f49b1b4ad4dd.webm,0.9829,121716.0,5.52,
493,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05fcd4e7-9ed6-4ed6-ae56-333af5aefd6d.webm,0.9425,79380.0,3.6,
494,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/05fd0bcc-c0b4-4d2a-ad69-39420fd5de94.webm,0.959,218295.0,9.9,
499,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06144bba-80b2-4132-aa15-8bae41e48c9f.webm,0.9881,219618.0,9.96,
503,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06242f43-3250-4995-b226-ac49448fae01.webm,0.6659,21168.0,0.96,
507,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/062c5731-0937-4f1c-8222-fd80b16f310d.webm,0.9538,108486.0,4.92,
513,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/063986a3-8766-4584-aab6-06495a8cd9c4.webm,0.9791,218295.0,9.9,
527,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/067d3e42-427d-4b57-bc26-783b11c11939.webm,0.9617,93933.0,4.26,
528,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/068caea6-96e8-482d-b53e-9d4d48bae595.wav,0.9941,150528.0,6.8267,
534,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/069ae431-30e2-46ae-98b9-c2e6183b6356.webm,0.871,213003.0,9.66,
536,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06a017b7-3bf9-44d2-be83-42d7761778d1.webm,0.9916,211680.0,9.6,
537,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06a1aa18-19d2-4717-a4e5-8537c3eccce4.webm,0.9689,214326.0,9.72,
539,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06a4e544-d7e6-42b3-b484-9263a00c1030.wav,0.9737,220148.0,9.984,
540,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06a8ccad-3f53-4665-a418-2713596f0672.webm,0.9465,134946.0,6.12,
542,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06afeb36-c7d4-434e-8f55-a8844a733901.webm,0.9833,210357.0,9.54,
546,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06b56e5a-a581-45e9-a746-de8e94d9d9d6.webm,0.9805,149499.0,6.78,
548,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06c38629-33f6-4567-9764-e3f5847663dc.wav,0.8283,102548.0,4.6507,
550,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06cb0167-f7f3-41d8-9f4d-b9d98f38a251.webm,0.9975,218295.0,9.9,
551,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06d775c2-628a-4184-ba65-b0c8b05893b2.webm,0.9751,219618.0,9.96,
553,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/06e19cfa-165a-4e45-9180-dceefbe94db8.webm,0.9315,158760.0,7.2,
564,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07088239-9c6e-4e69-9d7e-6d01c6e1f20c.webm,0.79,219618.0,9.96,
570,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0714739b-8d92-4f45-bd8b-22e19ed9e72a.webm,0.9277,218295.0,9.9,
573,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/071bce7a-2bbe-4077-bbe0-62a377807169.webm,0.9447,219618.0,9.96,
580,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0741b646-894f-41fa-a1dd-fe0e100fc9eb.webm,0.9022,75411.0,3.42,
584,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0749e308-0d31-4e99-bf24-ec0022c5332a.webm,0.7871,165375.0,7.5,
588,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0758f54f-ba9d-4ac2-b4bd-8466ca65905c.webm,0.9891,209034.0,9.48,
597,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/076f59de-0637-4ee1-951c-f2e0784e8a53.webm,0.9884,216972.0,9.84,
603,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/078e7a82-f99f-40d1-b4f7-3e983ba1184d.webm,0.9688,93933.0,4.26,
604,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/078e7b5d-4c60-451a-b5a5-ff90ca220aba.webm,0.9978,100548.0,4.56,
605,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0792759a-37b5-414a-a1e6-f34aa944e28f.webm,0.9716,191835.0,8.7,
606,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0797f05b-5b4b-4c63-8834-9ebaba94a0dd.webm,0.9847,71442.0,3.24,
625,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07cc6177-40df-4ef1-b11d-26b13e622473.wav,0.7676,53626.0,2.432,
628,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07dc8748-2498-4e20-b322-03cae7dc306e.webm,0.9441,213003.0,9.66,
629,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07df9613-e8e2-49c1-8e67-00f4baef27e7.webm,0.6897,216972.0,9.84,
630,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07e0a829-aefd-4087-aefa-92d98c29e102.webm,0.9768,214326.0,9.72,
635,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07e5e50e-200b-4280-a8f7-8736a24d5a9f.webm,0.8286,103194.0,4.68,
638,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07ed3a48-a0cb-48d6-a353-2103bc80367f.webm,0.9598,219618.0,9.96,
639,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/07ee327d-632f-45f4-aeee-0a5430fd79b7.webm,0.9904,140238.0,6.36,
652,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/081b9f15-2c2d-4753-a855-a5de06d78ff7.webm,0.9824,215649.0,9.78,
653,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/081c1de4-5154-4134-9a1a-eef753eafe23.webm,0.9931,215649.0,9.78,
654,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/08202eda-c430-4c41-bb4d-33d7a969cee5.webm,0.9715,219618.0,9.96,
656,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/08270d2c-8262-45e4-a1e7-21ae13a089eb.webm,0.9971,219618.0,9.96,
661,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/082ec50d-4f8e-4247-8101-522a350e0d44.webm,0.9718,213003.0,9.66,
662,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/082f8c41-4025-4fed-a7a2-400ce23b50f4.webm,0.9949,75411.0,3.42,
668,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/08385378-34df-4dda-b39b-1e2a90355591.webm,0.966,210357.0,9.54,
690,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0886f2df-34b9-4818-a1d5-b9d4d497fdda.webm,0.68,214326.0,9.72,
